Age,Gender,Occupation,Daily_AI_Usage_Hours,AI_Usage_Purpose,Specialization,AI_Tools_Used,AI_Usage_Frequency,AI_Skill_Level,Device_Used,Data_Privacy_Concern,AI_Trust_Level,Location,Education_Level,Language_Preference,Internet_Speed,AI_Usage_Change_in_6_Months,AI_Affect_on_Productivity,Uses_Paid_AI_Tools,Satisfaction_Level,Can_Live_Without_AI,Task_Complexity,Time_to_Respond_Seconds,Performance (%)
30,Female,Unemployed,0,Work,Law,Other,Sometimes,Beginner,Desktop,Low,High,Urban,PhD,Arabic,Medium,Decreased,Positive,No,10,No,2,30,85
59,Female,Engineer,4,Shopping,Education,Notion AI,Daily,Intermediate,Tablet,Medium,High,Urban,Master,Arabic,Medium,Increased,Negative,No,2,Yes,3,59,80
38,Female,Freelancer,6,Health,Business,Copilot,Daily,Beginner,Laptop,Medium,Low,Rural,High School,Spanish,Fast,Increased,Neutral,Yes,4,Yes,3,90,60
28,Female,Teacher,6,Health,Law,Notion AI,Sometimes,Intermediate,Desktop,High,High,Rural,PhD,Spanish,Slow,Decreased,Neutral,Yes,5,Yes,3,69,60
59,Female,Student,11,Entertainment,Education,Midjourney,Sometimes,Intermediate,Mobile,High,High,Urban,Bachelor,English,Slow,Decreased,Positive,Yes,2,Yes,2,28,85
30,Female,Designer,1,Daily Life,Art,Copilot,Daily,Advanced,Mobile,Medium,Moderate,Rural,PhD,Arabic,Slow,Same,Negative,No,4,Yes,2,23,85
50,Female,Designer,3,Work,Art,Copilot,Daily,Advanced,Mobile,High,Low,Suburban,Bachelor,French,Fast,Same,Negative,No,9,No,2,30,85
20,Male,Teacher,7,Work,Education,Bard,Daily,Intermediate,Mobile,Low,Moderate,Urban,Master,Spanish,Slow,Same,Neutral,No,3,Yes,2,29,85
53,Male,Engineer,0,Work,Engineering,Other,Sometimes,Intermediate,Desktop,High,Moderate,Suburban,Master,Spanish,Fast,Same,Neutral,No,7,No,3,49,80
39,Male,Unemployed,9,Health,Engineering,Notion AI,Daily,Advanced,Tablet,High,Low,Suburban,Bachelor,Arabic,Fast,Increased,Positive,Yes,8,No,2,29,85
21,Male,Student,6,Study,Medicine,Bard,Rarely,Intermediate,Laptop,High,High,Suburban,Bachelor,English,Fast,Increased,Neutral,Yes,7,No,2,49,70
37,Female,Researcher,8,Work,Medicine,Other,Rarely,Intermediate,Tablet,High,High,Rural,PhD,Spanish,Medium,Same,Positive,No,3,Yes,2,41,70
29,Female,Designer,1,Health,Engineering,Copilot,Daily,Beginner,Laptop,High,High,Rural,PhD,English,Slow,Increased,Positive,No,6,No,3,69,60
39,Female,Teacher,4,Study,Education,Copilot,Daily,Advanced,Desktop,High,Low,Urban,Master,Spanish,Slow,Decreased,Positive,No,3,Yes,2,46,70
42,Female,Doctor,1,Work,Medicine,Midjourney,Rarely,Advanced,Mobile,Low,Moderate,Urban,PhD,Spanish,Medium,Decreased,Neutral,No,5,Yes,3,52,80
21,Male,Researcher,9,Entertainment,Education,Copilot,Rarely,Beginner,Laptop,High,High,Suburban,PhD,English,Medium,Decreased,Neutral,No,1,Yes,2,40,70
30,Female,Freelancer,8,Study,Business,Bard,Daily,Advanced,Laptop,Medium,Moderate,Rural,PhD,Arabic,Fast,Decreased,Neutral,No,1,Yes,2,24,85
43,Male,Teacher,7,Shopping,Education,Bard,Often,Intermediate,Tablet,Low,Moderate,Rural,High School,English,Medium,Increased,Neutral,Yes,6,No,2,36,70
62,Female,Researcher,8,Study,Engineering,ChatGPT,Often,Beginner,Tablet,Low,Low,Suburban,Bachelor,Spanish,Fast,Decreased,Negative,Yes,7,No,2,29,85
24,Female,Designer,8,Daily Life,Art,Copilot,Daily,Beginner,Laptop,High,High,Rural,PhD,French,Fast,Decreased,Positive,Yes,2,Yes,2,30,85
39,Female,Researcher,5,Daily Life,Art,Notion AI,Sometimes,Beginner,Mobile,High,Low,Suburban,Bachelor,French,Fast,Same,Neutral,No,7,No,2,47,70
63,Male,Doctor,0,Health,Medicine,Other,Sometimes,Beginner,Laptop,Low,Moderate,Suburban,High School,French,Slow,Increased,Positive,Yes,1,Yes,4,90,70
34,Female,Freelancer,2,Study,Law,Copilot,Sometimes,Intermediate,Tablet,Low,High,Suburban,High School,English,Medium,Increased,Neutral,No,8,No,2,24,85
25,Female,Engineer,2,Study,Education,Notion AI,Rarely,Advanced,Tablet,Low,Low,Suburban,Master,French,Medium,Increased,Neutral,Yes,3,Yes,3,57,80
34,Male,Teacher,9,Study,Business,Notion AI,Often,Intermediate,Laptop,Medium,Low,Suburban,High School,Spanish,Slow,Same,Negative,Yes,1,Yes,2,50,70
39,Male,Doctor,5,Daily Life,Art,Midjourney,Rarely,Advanced,Desktop,Medium,Low,Rural,High School,English,Slow,Increased,Neutral,Yes,4,Yes,2,30,85
19,Female,Doctor,11,Daily Life,Engineering,Other,Often,Beginner,Mobile,Low,Low,Rural,Bachelor,French,Medium,Decreased,Negative,No,4,Yes,2,36,70
52,Male,Researcher,1,Health,Medicine,Bard,Often,Beginner,Desktop,Medium,Low,Rural,High School,Spanish,Slow,Increased,Neutral,Yes,6,No,3,59,80
45,Male,Freelancer,1,Entertainment,Engineering,Bard,Rarely,Advanced,Desktop,High,High,Rural,Bachelor,Arabic,Medium,Same,Negative,No,10,No,2,45,70
32,Male,Engineer,5,Health,Engineering,Midjourney,Sometimes,Beginner,Mobile,High,Moderate,Rural,PhD,Spanish,Fast,Same,Negative,No,8,No,4,101,50
38,Male,Student,6,Shopping,Medicine,Bard,Rarely,Advanced,Laptop,Medium,Moderate,Suburban,PhD,Arabic,Medium,Increased,Negative,No,4,Yes,2,32,70
62,Male,Researcher,9,Shopping,Law,Midjourney,Rarely,Beginner,Mobile,Low,Low,Urban,Bachelor,Arabic,Fast,Same,Neutral,No,10,No,2,21,85
63,Male,Doctor,11,Health,Computer Science,ChatGPT,Often,Intermediate,Mobile,Medium,Low,Rural,Master,French,Medium,Same,Negative,No,2,Yes,4,85,70
40,Male,Student,4,Health,Medicine,Copilot,Daily,Beginner,Tablet,Low,High,Urban,Bachelor,Spanish,Slow,Same,Negative,Yes,4,Yes,2,39,70
26,Female,Designer,12,Work,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,High,Suburban,PhD,Arabic,Slow,Same,Neutral,No,10,No,2,20,85
34,Female,Unemployed,11,Entertainment,Education,Bard,Daily,Intermediate,Laptop,Medium,Low,Suburban,High School,French,Slow,Decreased,Neutral,No,9,No,2,27,85
57,Male,Unemployed,4,Work,Business,ChatGPT,Daily,Beginner,Mobile,Low,High,Rural,Bachelor,English,Slow,Decreased,Positive,No,7,No,2,45,70
53,Male,Engineer,2,Shopping,Business,Midjourney,Rarely,Beginner,Tablet,High,Moderate,Suburban,Master,Arabic,Fast,Decreased,Neutral,No,1,Yes,3,63,60
61,Female,Researcher,11,Entertainment,Art,ChatGPT,Daily,Beginner,Desktop,Medium,Moderate,Suburban,High School,Spanish,Slow,Same,Positive,Yes,4,Yes,2,38,70
61,Female,Student,8,Daily Life,Business,Midjourney,Sometimes,Advanced,Tablet,Medium,Low,Suburban,Bachelor,Spanish,Slow,Decreased,Positive,Yes,4,Yes,1,18,85
21,Female,Student,3,Daily Life,Art,Bard,Daily,Intermediate,Laptop,Low,Moderate,Urban,PhD,Spanish,Medium,Same,Negative,Yes,10,No,1,29,85
40,Male,Unemployed,11,Daily Life,Medicine,Notion AI,Sometimes,Advanced,Tablet,Low,High,Rural,High School,Spanish,Medium,Decreased,Negative,Yes,1,Yes,1,23,85
46,Female,Freelancer,8,Daily Life,Art,Other,Daily,Beginner,Tablet,High,High,Rural,Bachelor,English,Fast,Decreased,Positive,No,2,Yes,2,43,70
40,Female,Teacher,7,Daily Life,Business,Copilot,Often,Beginner,Desktop,Low,Low,Rural,Master,Spanish,Slow,Increased,Positive,Yes,8,No,2,21,85
54,Female,Unemployed,4,Daily Life,Business,Notion AI,Often,Intermediate,Laptop,Low,Moderate,Suburban,PhD,Spanish,Fast,Decreased,Negative,Yes,1,Yes,1,15,85
49,Female,Unemployed,5,Health,Art,Copilot,Often,Advanced,Laptop,Medium,Moderate,Urban,PhD,French,Slow,Same,Neutral,No,4,Yes,2,29,85
51,Female,Teacher,11,Shopping,Business,Midjourney,Rarely,Beginner,Tablet,High,Moderate,Suburban,High School,Spanish,Fast,Same,Negative,No,9,No,2,44,70
37,Female,Teacher,8,Health,Business,Bard,Daily,Advanced,Laptop,High,Low,Urban,Master,English,Medium,Same,Negative,Yes,4,Yes,3,45,80
31,Female,Student,3,Entertainment,Engineering,Bard,Rarely,Intermediate,Desktop,Low,High,Urban,Master,Arabic,Slow,Increased,Positive,Yes,10,No,2,25,85
60,Female,Unemployed,3,Shopping,Education,Other,Sometimes,Intermediate,Tablet,Medium,Moderate,Rural,Bachelor,Arabic,Slow,Same,Neutral,Yes,4,Yes,2,40,70
18,Female,Researcher,4,Health,Medicine,Midjourney,Sometimes,Beginner,Laptop,High,High,Urban,PhD,English,Medium,Same,Positive,Yes,7,No,3,65,60
34,Female,Engineer,12,Daily Life,Business,Other,Often,Advanced,Desktop,Medium,Low,Rural,Master,French,Medium,Decreased,Negative,Yes,6,No,2,40,70
38,Male,Doctor,8,Shopping,Business,Bard,Daily,Intermediate,Laptop,High,Moderate,Rural,Master,English,Slow,Increased,Positive,Yes,8,No,3,79,60
27,Male,Doctor,8,Health,Law,Bard,Rarely,Intermediate,Mobile,Low,Low,Suburban,Master,Spanish,Fast,Decreased,Neutral,No,7,No,4,119,50
31,Male,Student,0,Shopping,Law,Copilot,Daily,Beginner,Desktop,Low,High,Suburban,Bachelor,Spanish,Fast,Same,Positive,No,8,No,2,48,70
49,Male,Student,9,Entertainment,Engineering,Bard,Sometimes,Advanced,Mobile,High,Moderate,Rural,Bachelor,French,Medium,Decreased,Neutral,Yes,10,No,2,50,70
44,Female,Teacher,3,Health,Engineering,Midjourney,Rarely,Intermediate,Mobile,Medium,Low,Rural,Bachelor,French,Medium,Decreased,Negative,No,10,No,3,46,80
61,Female,Doctor,2,Shopping,Law,Other,Often,Beginner,Tablet,Low,Low,Suburban,PhD,Arabic,Slow,Increased,Positive,No,7,No,3,50,80
30,Female,Designer,11,Work,Art,Midjourney,Often,Advanced,Tablet,High,Low,Rural,Master,Arabic,Fast,Decreased,Negative,Yes,4,Yes,2,39,70
51,Female,Teacher,8,Daily Life,Art,Other,Often,Intermediate,Laptop,Medium,Moderate,Urban,Master,Spanish,Fast,Increased,Neutral,No,5,Yes,2,32,70
43,Female,Unemployed,5,Work,Medicine,ChatGPT,Rarely,Intermediate,Tablet,Medium,Moderate,Urban,PhD,Spanish,Slow,Decreased,Positive,Yes,1,Yes,2,20,85
54,Female,Engineer,11,Work,Art,Notion AI,Rarely,Intermediate,Desktop,Medium,Low,Suburban,Master,French,Medium,Increased,Neutral,No,5,Yes,3,79,60
54,Female,Doctor,2,Entertainment,Education,Notion AI,Sometimes,Beginner,Laptop,Medium,High,Urban,Master,Spanish,Slow,Decreased,Neutral,No,1,Yes,3,48,80
22,Female,Student,8,Entertainment,Engineering,Other,Sometimes,Intermediate,Desktop,Medium,Moderate,Rural,PhD,Spanish,Fast,Same,Neutral,No,9,No,2,22,85
21,Male,Student,10,Health,Business,Copilot,Sometimes,Advanced,Mobile,Low,Low,Urban,Bachelor,English,Fast,Decreased,Positive,Yes,9,No,2,39,70
58,Male,Designer,11,Study,Computer Science,Other,Daily,Intermediate,Mobile,Medium,Moderate,Urban,PhD,French,Medium,Decreased,Neutral,Yes,1,Yes,2,48,70
58,Female,Researcher,5,Study,Art,Notion AI,Often,Intermediate,Desktop,High,Low,Urban,Bachelor,French,Slow,Increased,Positive,Yes,5,Yes,2,42,70
62,Female,Freelancer,7,Shopping,Art,Midjourney,Rarely,Intermediate,Desktop,Low,High,Suburban,High School,English,Medium,Decreased,Neutral,No,5,Yes,2,33,70
25,Female,Unemployed,5,Entertainment,Art,Midjourney,Daily,Beginner,Laptop,Medium,Moderate,Urban,,English,Medium,Decreased,Positive,No,10,No,2,44,70
48,Female,Doctor,5,Study,Medicine,Bard,Daily,Beginner,Desktop,Low,High,Suburban,High School,Arabic,Medium,Same,Positive,Yes,1,Yes,3,54,80
26,Male,Freelancer,1,Study,Education,Copilot,Rarely,Advanced,Tablet,High,Moderate,Rural,Bachelor,Spanish,Slow,Increased,Positive,No,5,Yes,2,47,70
41,Male,Teacher,6,Study,Law,Copilot,Rarely,Intermediate,Laptop,Medium,High,Rural,High School,Spanish,Fast,Decreased,Negative,Yes,8,No,2,35,70
22,Male,Doctor,9,Work,Business,Copilot,Rarely,Advanced,Mobile,Medium,Low,Urban,PhD,Spanish,Fast,Increased,Neutral,Yes,7,No,3,48,80
45,Male,Doctor,5,Shopping,Art,ChatGPT,Daily,Advanced,Desktop,High,Low,Suburban,Master,English,Fast,Increased,Neutral,Yes,9,No,3,73,60
45,Female,Doctor,2,Health,Engineering,Other,Sometimes,Intermediate,Mobile,Medium,High,Suburban,High School,English,Medium,Increased,Neutral,Yes,8,No,4,119,50
149,Male,Freelancer,4,Study,Engineering,Midjourney,Daily,Advanced,Laptop,Low,Low,Urban,,English,Medium,Same,Positive,Yes,10,No,2,43,70
58,Male,Freelancer,7,Health,Art,ChatGPT,Daily,Intermediate,Tablet,High,Moderate,Suburban,PhD,English,Medium,Same,Neutral,Yes,3,Yes,3,59,80
31,Male,Freelancer,10,Work,Education,ChatGPT,Often,Intermediate,Mobile,Medium,High,Suburban,PhD,Spanish,Slow,Increased,Positive,No,4,Yes,2,43,70
35,Male,Freelancer,3,Health,Engineering,ChatGPT,Daily,Beginner,Laptop,Medium,Low,Suburban,Bachelor,French,Medium,Same,Positive,No,4,Yes,3,54,80
18,Female,Researcher,1,Entertainment,Computer Science,Midjourney,Daily,Intermediate,Tablet,Low,Moderate,Rural,Master,English,Medium,Same,Negative,Yes,5,Yes,2,22,85
29,Female,Doctor,3,Daily Life,Business,Other,Sometimes,Beginner,Laptop,Low,High,Rural,Bachelor,Arabic,Slow,Decreased,Neutral,No,3,Yes,2,48,70
55,Female,Designer,8,Shopping,Art,Other,Daily,Advanced,Tablet,High,High,Suburban,Bachelor,French,Fast,Same,Neutral,Yes,4,Yes,2,50,70
23,Female,Student,9,Work,Computer Science,Copilot,Daily,Beginner,Laptop,Low,High,Rural,Bachelor,English,Medium,Increased,Negative,Yes,4,Yes,2,44,70
19,Female,Designer,6,Shopping,Education,Bard,Daily,Intermediate,Desktop,Medium,Low,Urban,PhD,Spanish,Slow,Same,Positive,Yes,3,Yes,2,36,70
64,Male,Student,12,Work,Medicine,ChatGPT,Rarely,Intermediate,Laptop,Medium,High,Rural,High School,Arabic,Medium,Increased,Neutral,No,1,Yes,2,44,70
55,Female,Unemployed,1,Entertainment,Engineering,Other,Often,Intermediate,Laptop,Low,High,Suburban,Master,French,Slow,Increased,Neutral,No,9,No,2,39,70
21,Male,Engineer,4,Daily Life,Law,Copilot,Often,Advanced,Desktop,High,Moderate,Rural,High School,Arabic,Medium,Decreased,Neutral,Yes,9,No,2,20,85
52,Male,Student,3,Work,Business,Midjourney,Daily,Intermediate,Desktop,Low,Low,Rural,High School,French,Fast,Decreased,Positive,No,10,No,2,50,70
19,Female,Doctor,10,Daily Life,Engineering,Midjourney,Daily,Beginner,Tablet,High,Low,Urban,Bachelor,Spanish,Slow,Increased,Neutral,Yes,6,No,2,38,70
55,Female,Student,10,Study,Business,ChatGPT,Sometimes,Beginner,Laptop,High,High,Rural,High School,English,Slow,Increased,Neutral,No,1,Yes,2,21,85
57,Female,Student,9,Daily Life,Business,Notion AI,Daily,Beginner,Mobile,Medium,Low,Suburban,PhD,French,Fast,Increased,Positive,No,9,No,1,25,85
25,Female,Unemployed,5,Work,Medicine,Bard,Sometimes,Beginner,Tablet,High,Moderate,Urban,Master,French,Fast,Increased,Negative,Yes,3,Yes,2,49,70
61,Female,Freelancer,9,Entertainment,Engineering,Midjourney,Sometimes,Advanced,Tablet,Low,Low,Rural,PhD,Spanish,Fast,Decreased,Neutral,Yes,6,No,2,43,70
50,Male,Unemployed,11,Shopping,Art,ChatGPT,Often,Advanced,Laptop,High,High,Suburban,Bachelor,French,Medium,Decreased,Positive,Yes,1,Yes,2,50,70
29,Male,Doctor,3,Entertainment,Art,Notion AI,Daily,Advanced,Laptop,High,Moderate,Urban,Master,Spanish,Fast,Increased,Positive,Yes,5,Yes,3,65,60
58,Male,Engineer,7,Work,Education,Notion AI,Rarely,Intermediate,Desktop,High,High,Suburban,PhD,French,Slow,Decreased,Negative,No,5,Yes,3,63,60
36,Male,Student,3,Entertainment,Engineering,Midjourney,Daily,Beginner,Laptop,Low,Low,Suburban,Master,French,Medium,Increased,Negative,No,3,Yes,2,43,70
64,Male,Engineer,12,Study,Engineering,Notion AI,Rarely,Intermediate,Mobile,Low,High,Urban,High School,Arabic,Medium,Same,Neutral,No,2,Yes,3,47,80
19,Male,Doctor,11,Work,Business,Midjourney,Daily,Beginner,Desktop,Low,High,Urban,Master,Spanish,Medium,Same,Positive,Yes,9,No,3,59,80
56,Male,Unemployed,6,Entertainment,Art,Midjourney,Often,Advanced,Tablet,High,Low,Suburban,Master,Arabic,Fast,Same,Positive,No,3,Yes,2,39,70
43,Female,Teacher,3,Study,Computer Science,Other,Sometimes,Intermediate,Tablet,High,High,Rural,High School,Spanish,Fast,Increased,Positive,Yes,6,No,2,22,85
34,Female,Researcher,9,Daily Life,Medicine,Other,Sometimes,Beginner,Laptop,Medium,Moderate,Rural,PhD,Arabic,Medium,Same,Positive,Yes,7,No,2,27,85
38,Female,Freelancer,6,Shopping,Medicine,ChatGPT,Often,Beginner,Desktop,Medium,Low,Suburban,High School,French,Slow,Increased,Negative,No,5,Yes,2,34,70
57,Female,Teacher,0,Work,Education,Copilot,Sometimes,Intermediate,Laptop,Medium,High,Rural,Bachelor,French,Medium,Increased,Positive,Yes,3,Yes,2,32,70
57,Male,Freelancer,11,Shopping,Medicine,Other,Often,Beginner,Laptop,Medium,High,Suburban,High School,French,Medium,Decreased,Neutral,Yes,2,Yes,2,33,70
57,Male,Unemployed,5,Study,Law,ChatGPT,Rarely,Intermediate,Laptop,Medium,High,Urban,PhD,Spanish,Fast,Decreased,Negative,Yes,8,No,2,25,85
59,Female,Designer,9,Shopping,Medicine,Midjourney,Daily,Intermediate,Tablet,Medium,Moderate,Rural,Bachelor,Spanish,Medium,Decreased,Neutral,Yes,10,No,2,48,70
26,Male,Engineer,11,Work,Education,Midjourney,Sometimes,Beginner,Desktop,Low,High,Rural,PhD,Arabic,Fast,Decreased,Neutral,No,5,Yes,3,52,80
45,Female,Doctor,1,Shopping,Law,Notion AI,Often,Advanced,Laptop,Low,Moderate,Urban,High School,Arabic,Fast,Decreased,Positive,No,6,No,3,65,60
33,Female,Unemployed,4,Health,Medicine,Bard,Daily,Intermediate,Mobile,High,Moderate,Urban,Master,English,Slow,Increased,Negative,Yes,5,Yes,2,36,70
55,Male,Designer,5,Work,Computer Science,Copilot,Sometimes,Intermediate,Tablet,Low,Moderate,Urban,High School,French,Slow,Decreased,Neutral,No,5,Yes,2,28,85
39,Male,Doctor,10,Work,Education,Other,Rarely,Intermediate,Tablet,Medium,High,Urban,High School,English,Medium,Same,Negative,No,5,Yes,3,48,80
63,Female,Doctor,1,Work,Law,Copilot,Daily,Advanced,Desktop,High,Moderate,Rural,High School,English,Medium,Decreased,Positive,Yes,5,Yes,3,40,80
54,Male,Researcher,0,Study,Education,Midjourney,Rarely,Advanced,Desktop,High,Low,Rural,Master,Spanish,Fast,Same,Positive,No,3,Yes,2,41,70
35,Male,Teacher,3,Shopping,Law,Copilot,Sometimes,Intermediate,Laptop,Low,Moderate,Urban,Bachelor,English,Medium,Increased,Positive,No,1,Yes,2,43,70
51,Male,Researcher,1,Shopping,Art,Copilot,Rarely,Advanced,Laptop,Low,Low,Rural,PhD,English,Slow,Decreased,Neutral,Yes,9,No,2,34,70
49,Male,Engineer,0,Study,Medicine,Midjourney,Often,Beginner,Laptop,High,High,Urban,PhD,Arabic,Fast,Same,Neutral,No,6,No,3,71,60
60,Female,Doctor,2,Work,Education,Other,Often,Beginner,Laptop,Low,Low,Rural,Master,Spanish,Slow,Increased,Negative,No,10,No,3,69,60
28,Male,Unemployed,1,Study,Business,Midjourney,Daily,Intermediate,Tablet,Medium,Low,Urban,Master,English,Medium,Decreased,Neutral,No,6,No,2,37,70
52,Male,Freelancer,2,Health,Education,Midjourney,Daily,Intermediate,Tablet,Medium,High,Suburban,Bachelor,Spanish,Medium,Same,Positive,No,7,No,3,59,80
34,Female,Freelancer,5,Entertainment,Medicine,Copilot,Daily,Advanced,Desktop,Medium,High,Suburban,PhD,English,Fast,Decreased,Neutral,No,1,Yes,2,35,70
60,Male,Teacher,10,Daily Life,Art,Midjourney,Daily,Intermediate,Tablet,Medium,Low,Rural,Bachelor,English,Medium,Increased,Positive,No,3,Yes,2,22,85
52,Female,Freelancer,2,Shopping,Medicine,Bard,Daily,Advanced,Tablet,High,Low,Urban,Master,French,Slow,Same,Neutral,No,7,No,2,35,70
37,Female,Engineer,6,Health,Law,Midjourney,Often,Beginner,Laptop,Medium,Moderate,Urban,PhD,French,Slow,Decreased,Neutral,Yes,7,No,4,119,50
44,Male,Student,5,Entertainment,Computer Science,Midjourney,Often,Intermediate,Desktop,Low,Moderate,Urban,Bachelor,Spanish,Slow,Increased,Positive,No,8,No,2,43,70
54,Male,Student,12,Daily Life,Engineering,Midjourney,Rarely,Advanced,Laptop,Medium,Moderate,Urban,PhD,English,Medium,Decreased,Positive,Yes,4,Yes,1,12,85
47,Female,Doctor,8,Health,Engineering,Bard,Often,Advanced,Laptop,High,Low,Suburban,,Arabic,Fast,Decreased,Negative,Yes,6,No,4,87,70
63,Male,Unemployed,10,Daily Life,Art,Bard,Often,Intermediate,Mobile,Low,High,Rural,PhD,English,Medium,Same,Negative,No,9,No,1,25,85
27,Female,Doctor,11,Daily Life,Art,Midjourney,Daily,Advanced,Mobile,Medium,Low,Rural,High School,French,Fast,Same,Negative,No,5,Yes,2,28,85
25,Male,Teacher,6,Study,Law,Notion AI,Rarely,Intermediate,Desktop,Medium,Moderate,Rural,PhD,Spanish,Slow,Decreased,Positive,Yes,9,No,2,50,70
27,Male,Doctor,3,Daily Life,Computer Science,Bard,Daily,Intermediate,Tablet,Low,High,Suburban,Bachelor,English,Fast,Decreased,Negative,No,3,Yes,2,22,85
44,Male,Engineer,1,Shopping,Business,Notion AI,Often,Intermediate,Tablet,High,High,Suburban,PhD,Arabic,Fast,Same,Negative,No,6,No,3,87,60
31,Male,Engineer,4,Work,Medicine,Other,Rarely,Intermediate,Tablet,Low,Low,Suburban,High School,Spanish,Fast,Increased,Negative,No,5,Yes,3,73,60
44,Male,Student,9,Study,Computer Science,ChatGPT,Sometimes,Advanced,Tablet,High,Low,Rural,Master,French,Slow,Same,Neutral,Yes,2,Yes,2,22,85
34,Male,Researcher,2,Entertainment,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,Low,Rural,Bachelor,French,Slow,Decreased,Positive,No,4,Yes,2,43,70
27,Male,Doctor,2,Health,Education,Copilot,Rarely,Advanced,Mobile,Low,Moderate,Urban,High School,English,Medium,Increased,Negative,Yes,7,No,4,101,50
40,Male,Teacher,4,Daily Life,Engineering,Bard,Sometimes,Intermediate,Desktop,Low,High,Urban,PhD,English,Fast,Decreased,Negative,No,5,Yes,2,37,70
53,Female,Doctor,9,Health,Business,Bard,Daily,Advanced,Tablet,High,High,Urban,,French,Slow,Decreased,Positive,Yes,9,No,4,120,50
21,Female,Designer,8,Entertainment,Engineering,Bard,Rarely,Beginner,Desktop,Medium,Low,Suburban,PhD,English,Fast,Increased,Negative,Yes,10,No,2,37,70
34,Male,Unemployed,11,Work,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,Moderate,Suburban,High School,Spanish,Medium,Decreased,Positive,No,2,Yes,2,32,70
40,Male,Doctor,10,Entertainment,Business,Notion AI,Daily,Intermediate,Laptop,High,Moderate,Suburban,PhD,Arabic,Medium,Increased,Positive,Yes,10,No,3,89,60
24,Female,Doctor,10,Work,Medicine,Other,Rarely,Beginner,Laptop,Medium,High,Suburban,Master,Arabic,Slow,Same,Neutral,No,10,No,3,75,60
54,Female,Unemployed,1,Entertainment,Education,Copilot,Sometimes,Advanced,Mobile,Medium,Low,Rural,Master,French,Slow,Same,Positive,Yes,3,Yes,2,39,70
18,Male,Doctor,12,Shopping,Medicine,ChatGPT,Daily,Beginner,Laptop,Low,Low,Urban,PhD,English,Fast,Increased,Neutral,Yes,5,Yes,3,62,60
44,Male,Researcher,7,Work,Business,Bard,Sometimes,Intermediate,Mobile,High,Low,Rural,High School,Spanish,Slow,Decreased,Negative,No,5,Yes,2,28,85
30,Male,Student,9,Shopping,Law,Bard,Rarely,Advanced,Laptop,Low,Low,Urban,PhD,English,Slow,Same,Negative,Yes,9,No,2,33,70
28,Male,Unemployed,9,Health,Education,Copilot,Often,Advanced,Desktop,High,Low,Suburban,Master,English,Medium,Same,Negative,No,8,No,2,25,85
35,Male,Unemployed,5,Daily Life,Education,ChatGPT,Daily,Beginner,Desktop,Medium,High,Urban,Bachelor,Arabic,Medium,Decreased,Positive,No,8,No,1,24,85
48,Male,Engineer,3,Work,Medicine,ChatGPT,Often,Beginner,Laptop,Medium,High,Urban,PhD,English,Slow,Increased,Neutral,Yes,4,Yes,3,56,80
44,Male,Engineer,10,Study,Business,Bard,Daily,Advanced,Tablet,Medium,Moderate,Suburban,High School,Arabic,Fast,Decreased,Neutral,Yes,9,No,3,56,80
